policy,timestep,sensitivity_weighted_variance_proxy,quality_proxy_delta_nll,weighted_noise_sum,mean_weighted_tile_noise,reference_noise_std,proxy_noise_scaling,shard_weight,shards_on_faulted,shards_on_unavailable,projections_on_faulted,projections_on_unavailable,available_tiles,faulted_tiles
sequential,35,51.68543914190386,51.68543914190386,51.68543914190386,0.025592846767857388,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,36,51.86342020074692,51.86342020074692,51.86342020074692,0.025652009586355273,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,37,51.95335114545062,51.95335114545062,51.95335114545062,0.025484739834422124,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,38,51.29934097967542,51.29934097967542,51.29934097967542,0.025325968466737726,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,39,50.596214347927884,50.596214347927884,50.596214347927884,0.02532460112526829,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,40,51.7496161820458,51.7496161820458,51.7496161820458,0.025488251824192946,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,41,53.20747551806494,53.20747551806494,53.20747551806494,0.025649114359086393,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,42,52.125120438218154,52.125120438218154,52.125120438218154,0.025364216398812263,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,43,52.611879285799766,52.611879285799766,52.611879285799766,0.02541489690379125,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,44,53.29855941331012,53.29855941331012,53.29855941331012,0.025535139368392697,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,45,52.81894357813577,52.81894357813577,52.81894357813577,0.025515981289972588,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,46,52.54571445479289,52.54571445479289,52.54571445479289,0.025458662469757802,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,47,52.42596574856556,52.42596574856556,52.42596574856556,0.025446930489887016,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,48,53.05390295510888,53.05390295510888,53.05390295510888,0.02556765656303143,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,49,52.55042682590117,52.55042682590117,52.55042682590117,0.02551039871104174,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,50,52.62320856106321,52.62320856106321,52.62320856106321,0.025525682386811143,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,51,53.34933995314057,53.34933995314057,53.34933995314057,0.02547447787291045,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,52,53.006194971179966,53.006194971179966,53.006194971179966,0.025508573501637998,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
sequential,53,52.622884193272746,52.622884193272746,52.622884193272746,0.025521679635230027,0.023,variance_ratio_squared,48.000000000000284,6,0,6,0,72,1
sequential,54,53.79123220309107,53.79123220309107,53.79123220309107,0.025572346569086118,0.023,variance_ratio_squared,48.000000000000284,6,0,6,0,72,1
sequential,55,54.66842030754994,54.66842030754994,54.66842030754994,0.025723180527734202,0.023,variance_ratio_squared,48.000000000000284,6,0,6,0,72,1
sequential,56,54.781289959747404,54.781289959747404,54.781289959747404,0.025834529351214566,0.023,variance_ratio_squared,48.000000000000284,6,0,6,0,72,1
sequential,57,55.41920009151169,55.41920009151169,55.41920009151169,0.025906031189337684,0.023,variance_ratio_squared,48.000000000000284,12,0,11,0,72,2
sequential,58,53.774363902488886,53.774363902488886,53.774363902488886,0.0255893966103741,0.023,variance_ratio_squared,48.000000000000284,12,0,11,0,72,2
sequential,59,54.77527423160625,54.77527423160625,54.77527423160625,0.025789587017111575,0.023,variance_ratio_squared,48.000000000000284,12,0,11,0,72,2
sequential,60,56.71107488138474,56.71107488138474,56.71107488138474,0.026239130705629197,0.023,variance_ratio_squared,48.000000000000284,25,0,24,0,72,4
sequential,61,57.26959839031928,57.26959839031928,57.26959839031928,0.02629643999029267,0.023,variance_ratio_squared,48.000000000000284,25,0,24,0,72,4
sequential,62,56.19980040036113,56.19980040036113,56.19980040036113,0.02604246344112887,0.023,variance_ratio_squared,48.000000000000284,25,0,24,0,72,4
